"","city","freq.x","freq.y","state.x","freq_ad","longi","latti"
"1","AUSTIN",0.193181818181818,0.0704225352112676,"TX",0.122759282970551,-97.7430608,30.267153
"2","HOUSTON",0.319602272727273,0.232394366197183,"TX",0.0872079065300896,-95.3698028,29.7604267
"3","KATY",0.0170454545454545,0,"TX",0.0170454545454545,-95.8243956,29.7857853
"4","PLANO",0.0142045454545455,0,"TX",0.0142045454545455,-96.6988856,33.0198431
"5","SPRING",0.0142045454545455,0,"TX",0.0142045454545455,-118.143068,34.004489
"6","SUGARLAND",0.0142045454545455,0,"TX",0.0142045454545455,-95.6218571,29.5953907
"7","ARLINGTON",0.0127840909090909,0,"TX",0.0127840909090909,-97.1080656,32.735687
"8","FRAMINGHAM",0.00994318181818182,0,"MA",0.00994318181818182,-71.4161565,42.279286
"9","COLLEGESTATION",0.015625,0.00704225352112676,"TX",0.00858274647887324,-96.3344068,30.627977
"10","PEARLAND",0.00852272727272727,0,"TX",0.00852272727272727,-95.2860474,29.5635666
"11","TOMBALL",0.00852272727272727,0,"TX",0.00852272727272727,-95.6160549,30.0971621
"12","BEAUMONT",0.0142045454545455,0.00704225352112676,"TX",0.00716229193341869,-94.1265562,30.080174
"13","LUBBOCK",0.00710227272727273,0,"TX",0.00710227272727273,-101.8551665,33.5778631
"14","THEWOODLANDS",0.00710227272727273,0,"TX",0.00710227272727273,-95.4612625,30.1658207
"15","IRVING",0.00568181818181818,0,"TX",0.00568181818181818,-96.9488945,32.8140177
"16","MCKINNEY",0.00568181818181818,0,"TX",0.00568181818181818,-96.6397822,33.1972465
"17","AMARILLO",0.00426136363636364,0,"TX",0.00426136363636364,-101.8312969,35.2219971
"18","AMHERST",0.00426136363636364,0,"MA",0.00426136363636364,-72.5170028,42.3709104
"19","BAYTOWN",0.00426136363636364,0,"TX",0.00426136363636364,-94.9774274,29.7355047
"20","CYPRESS",0.00426136363636364,0,"TX",0.00426136363636364,-118.0368507,33.8169366
"21","ELPASO",0.00426136363636364,0,"TX",0.00426136363636364,-106.4850217,31.7618778
"22","FRISCO",0.00426136363636364,0,"TX",0.00426136363636364,-96.8236116,33.1506744
"23","MIDLAND",0.00426136363636364,0,"TX",0.00426136363636364,-102.0779146,31.9973456
"24","PASADENA",0.00426136363636364,0,"TX",0.00426136363636364,-118.1445155,34.1477849
"25","PORTARTHUR",0.00426136363636364,0,"TX",0.00426136363636364,-93.939947,29.8849504
"26","ROUNDROCK",0.00426136363636364,0,"TX",0.00426136363636364,-97.678896,30.5082551
"27","STAFFORD",0.00426136363636364,0,"TX",0.00426136363636364,-95.5577221,29.6160671
"28","TYLER",0.00426136363636364,0,"TX",0.00426136363636364,-95.3010624,32.3512601
"29","VICTORIA",0.00426136363636364,0,"TX",0.00426136363636364,-97.0035982,28.8052674
