"","city","freq.x","freq.y","state.x","freq_ad"
"1","HOUSTON",0.359534206695779,0.232394366197183,"TX",0.127139840498596
"2","AUSTIN",0.174672489082969,0.0704225352112676,"TX",0.104249953871702
"3","CORPUSCHRISTI",0.0160116448326055,0,"TX",0.0160116448326055
"4","MISSOURICITY",0.0116448326055313,0,"TX",0.0116448326055313
"5","THEWOODLANDS",0.0116448326055313,0,"TX",0.0116448326055313
"6","ARLINGTON",0.0101892285298399,0,"TX",0.0101892285298399
"7","CYPRESS",0.0101892285298399,0,"TX",0.0101892285298399
"8","SCREWSTON",0.0101892285298399,0,"TX",0.0101892285298399
"9","SUGARLAND",0.0101892285298399,0,"TX",0.0101892285298399
"10","KATY",0.00873362445414847,0,"TX",0.00873362445414847
"11","RICHMOND",0.00873362445414847,0,"TX",0.00873362445414847
"12","CAMBRIDGE",0.00727802037845706,0,"MA",0.00727802037845706
"13","ELPASO",0.00582241630276565,0,"TX",0.00582241630276565
"14","FRISCO",0.00582241630276565,0,"TX",0.00582241630276565
"15","IRVING",0.00582241630276565,0,"TX",0.00582241630276565
"16","LUBBOCK",0.00582241630276565,0,"TX",0.00582241630276565
"17","PEARLAND",0.00582241630276565,0,"TX",0.00582241630276565
"18","SANMARCOS",0.00582241630276565,0,"TX",0.00582241630276565
"19","WACO",0.00582241630276565,0,"TX",0.00582241630276565
"20","CLUTCHCITY",0.00436681222707424,0,"TX",0.00436681222707424
"21","FLOWERMOUND",0.00436681222707424,0,"TX",0.00436681222707424
"22","LAMESA",0.00436681222707424,0,"TX",0.00436681222707424
"23","MERCEDES",0.00436681222707424,0,"TX",0.00436681222707424
"24","METAIRIE",0.00436681222707424,0,"LA",0.00436681222707424
"25","PHARR",0.00436681222707424,0,"TX",0.00436681222707424
"26","PORTARTHUR",0.00436681222707424,0,"TX",0.00436681222707424
"27","RICHARDSON",0.00436681222707424,0,"TX",0.00436681222707424
"28","TYLER",0.00436681222707424,0,"TX",0.00436681222707424
"29","VICTORIA",0.00436681222707424,0,"TX",0.00436681222707424
"30","WICHITAFALLS",0.00436681222707424,0,"TX",0.00436681222707424
"31","ALLEN",0.00291120815138282,0,"TX",0.00291120815138282
"32","COLLEGESTATION",0.00727802037845706,0.00704225352112676,"TX",0.000235766857330299
"33","LEAGUECITY",0.00727802037845706,0.00704225352112676,"TX",0.000235766857330299
